P_YYYYMMDD,BASE_WEEKDAY,BASE_TM,ENTR_NO,MDL_NM,CHNL_PNTN_ESPE_BRD_CHNL_NO,CHNL_ESPE_POT_CHNL_STAY_TM,WTCH_REGN_NM
2023-09-22,6,16,438FA35C8C179297510BC82823B6C66369F4C2D6,UTE7057LGU,184,857,경기/인천
2023-10-07,7,20,A63ABB0096425B8986B0977CD8244C0536AE89E2,UHD4K,27,721,경기/인천
2023-08-29,3,17,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,46,1156,서울
2023-08-06,1,16,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,92,1632,경기/인천
2023-08-05,7,8,598FE96976B647D109210DA9DA6496DD62646E3C,UHD4K,72,818,춘천
2023-09-28,5,22,441F58BC529644CC95F29947DBDFEC422BF6F4A4,UHD4K,102,768,서울
2023-08-08,3,14,849D4BFD212A4311441A510407346BF3E8891A76,UTE7057LGU,977,687,대전
2023-10-23,2,23,A7295254E60A7B69AFF18D5D510D2249FBCD1DF5,UHD4K,85,33691,대전
2023-09-24,1,21,849D4BFD212A4311441A510407346BF3E8891A76,UTE7057LGU,5,639,대전
2023-10-01,1,12,54BF30DBAE83E26F7873B53659E8A0CD03585E34,UTE7057LGU,47,1183,경기/인천
2023-08-10,5,15,9E400EC60D34AEF923C48F1C25379A9BDD489FA5,UIE4057LGU,130,3046,부산
2023-08-27,1,13,A7295254E60A7B69AFF18D5D510D2249FBCD1DF5,UHD4K,102,1167,대전
2023-08-18,6,22,849D4BFD212A4311441A510407346BF3E8891A76,UTE7057LGU,55,1096,대전
2023-09-07,5,17,BD98FD0FC84E688810250BAB439C9CC2163A416F,UHD4K,63,1544,대전
2023-09-13,4,6,22E889D82E78397398FD21E550CA0E8D159D7F43,UIE4057LGU,82,11082,춘천
2023-10-08,1,8,A7295254E60A7B69AFF18D5D510D2249FBCD1DF5,UHD4K,72,1418,대전
2023-10-28,7,2,4D25D5A26F18DA0BB02B5EB3D35F3FFEE3B819FA,UTE7057LGU,59,11148,서울
2023-09-23,7,21,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,103,1210,경기/인천
2023-10-08,1,16,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,46,1126,경기/인천
2023-10-30,2,0,4D25D5A26F18DA0BB02B5EB3D35F3FFEE3B819FA,UTE7057LGU,75,6215,서울
2023-10-05,5,15,A7295254E60A7B69AFF18D5D510D2249FBCD1DF5,UHD4K,72,652,대전
2023-09-10,1,19,A47A0DF35182BB226D2320E9E9237200E8A24480,UHD4K,83,646,서울
2023-09-22,6,17,438FA35C8C179297510BC82823B6C66369F4C2D6,UTE7057LGU,176,635,경기/인천
2023-10-08,1,16,A7295254E60A7B69AFF18D5D510D2249FBCD1DF5,UHD4K,139,667,대전
2023-08-27,1,7,A63ABB0096425B8986B0977CD8244C0536AE89E2,UHD4K,77,1026,경기/인천
2023-08-27,1,13,A7295254E60A7B69AFF18D5D510D2249FBCD1DF5,UHD4K,116,753,대전
2023-10-15,1,22,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,112,1163,서울
2023-08-11,6,0,9E400EC60D34AEF923C48F1C25379A9BDD489FA5,UIE4057LGU,118,9708,부산
2023-08-27,1,1,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,138,1657,경기/인천
2023-09-29,6,21,54BF30DBAE83E26F7873B53659E8A0CD03585E34,UTE7057LGU,46,2012,경기/인천
2023-10-17,3,21,54BF30DBAE83E26F7873B53659E8A0CD03585E34,UTE7057LGU,64,882,경기/인천
2023-08-12,7,11,ED197CEBB777E816DA6DEF2DF9F64953D26CD3E6,UHD4K,312,1207,창원
2023-09-02,7,21,500D21AA0CBC27FEB4419660F413A6B13929A254,UHD4K,14,1244,제주
2023-09-20,4,4,A7295254E60A7B69AFF18D5D510D2249FBCD1DF5,UHD4K,999,5537,대전
2023-08-17,5,23,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,127,918,서울
2023-10-11,4,14,849D4BFD212A4311441A510407346BF3E8891A76,UTE7057LGU,977,1815,대전
2023-09-06,4,1,22E889D82E78397398FD21E550CA0E8D159D7F43,UIE4057LGU,25,1830,춘천
2023-10-16,2,18,451A7C86F8CA773AF83330EAD87ECBBD53B6799D,UTE7057LGU,13,686,부산
2023-09-15,6,9,2C1FF4FAEAE8C89480466CC2F7DF3AB3EDAD9166,UHD4K,162,4111,서울
2023-08-19,7,20,ED197CEBB777E816DA6DEF2DF9F64953D26CD3E6,UHD4K,311,657,창원
2023-10-15,1,11,598FE96976B647D109210DA9DA6496DD62646E3C,UHD4K,71,1949,춘천
2023-08-26,7,16,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,99,631,경기/인천
2023-10-12,5,12,D09990A90A6CAA43BB8650E8EE28FB0A27CCDF75,UTE7057LGU,79,4513,진주
2023-09-05,3,17,22E889D82E78397398FD21E550CA0E8D159D7F43,UIE4057LGU,83,3359,춘천
2023-10-27,6,16,C86E1603E02A324929ABD9BDEA1C1D56B4ECA453,UIE4057LGU,4,639,경기/인천
2023-09-30,7,16,54BF30DBAE83E26F7873B53659E8A0CD03585E34,UTE7057LGU,87,605,경기/인천
2023-10-02,2,11,ED197CEBB777E816DA6DEF2DF9F64953D26CD3E6,UHD4K,312,909,창원
2023-08-30,4,3,A47A0DF35182BB226D2320E9E9237200E8A24480,UHD4K,87,618,서울
2023-10-02,2,7,22E889D82E78397398FD21E550CA0E8D159D7F43,UIE4057LGU,83,1081,춘천
2023-10-04,4,9,A63ABB0096425B8986B0977CD8244C0536AE89E2,UHD4K,14,1046,경기/인천
2023-10-26,5,10,598FE96976B647D109210DA9DA6496DD62646E3C,UHD4K,72,1860,춘천
2023-08-09,4,17,9E400EC60D34AEF923C48F1C25379A9BDD489FA5,UIE4057LGU,112,1707,부산
2023-10-01,1,22,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,47,788,서울
2023-09-28,5,1,4D25D5A26F18DA0BB02B5EB3D35F3FFEE3B819FA,UTE7057LGU,81,1439,서울
