P_YYYYMMDD,BASE_WEEKDAY,BASE_TM,ENTR_NO,MDL_NM,CHNL_PNTN_ESPE_BRD_CHNL_NO,CHNL_ESPE_POT_CHNL_STAY_TM,WTCH_REGN_NM
2023-09-17,1,2,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,71,618,경기/인천
2023-10-25,4,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,75,660,경기/인천
2023-10-21,7,13,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,75,1006,경기/인천
2023-09-12,3,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,974,1337,경기/인천
2023-09-10,1,14,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,1159,경기/인천
2023-08-21,2,15,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,94,3483,경기/인천
2023-09-10,1,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,88,964,경기/인천
2023-08-10,5,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,83,603,경기/인천
2023-08-15,3,7,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,77,802,경기/인천
2023-10-02,2,7,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,88,1290,경기/인천
2023-10-23,2,7,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,96,1794,경기/인천
2023-10-20,6,12,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,647,경기/인천
2023-08-01,3,10,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,999,600,경기/인천
2023-09-13,4,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,88,3644,경기/인천
2023-09-20,4,12,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,138,4084,경기/인천
2023-10-23,2,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,2342,경기/인천
2023-08-13,1,21,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,83,2068,경기/인천
2023-08-19,7,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,138,2107,경기/인천
2023-08-25,6,12,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,135,2565,경기/인천
2023-10-01,1,6,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,88,1753,경기/인천
2023-08-30,4,14,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,2479,경기/인천
2023-09-13,4,7,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,2185,경기/인천
2023-08-13,1,19,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,85,2950,경기/인천
2023-08-29,3,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,86,7009,경기/인천
2023-08-22,3,10,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,0,665,경기/인천
2023-09-03,1,10,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,86,2074,경기/인천
2023-08-13,1,12,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,124,1317,경기/인천
2023-08-10,5,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,118,830,경기/인천
2023-08-07,2,0,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,999,896,경기/인천
2023-09-15,6,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,95,774,경기/인천
2023-10-02,2,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,75,5327,경기/인천
2023-09-26,3,5,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,71,1159,경기/인천
2023-08-19,7,14,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,20,4594,경기/인천
2023-09-10,1,14,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,631,경기/인천
2023-10-09,2,12,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,135,1904,경기/인천
2023-08-03,5,20,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,75,1708,경기/인천
2023-08-21,2,13,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,135,810,경기/인천
2023-10-25,4,10,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,705,경기/인천
2023-10-18,4,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,75,1935,경기/인천
2023-10-22,1,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,96,4423,경기/인천
2023-09-10,1,22,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,118,608,경기/인천
2023-09-13,4,7,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,88,1406,경기/인천
2023-10-07,7,3,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,75,928,경기/인천
2023-09-10,1,7,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,904,경기/인천
2023-10-18,4,10,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,139,4548,경기/인천
2023-10-08,1,10,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,64,3607,경기/인천
2023-08-08,3,9,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,138,694,경기/인천
2023-08-21,2,14,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,77,1091,경기/인천
2023-10-24,3,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,822,경기/인천
2023-09-06,4,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,118,826,경기/인천
2023-08-27,1,12,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,91,826,경기/인천
2023-09-10,1,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,917,경기/인천
2023-10-18,4,7,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,75,722,경기/인천
2023-09-17,1,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,64,1605,경기/인천
2023-10-16,2,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,999,1445,경기/인천
2023-09-20,4,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,110,1046,경기/인천
2023-08-19,7,0,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,118,830,경기/인천
2023-08-26,7,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,97,674,경기/인천
2023-10-23,2,12,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,138,1970,경기/인천
2023-08-04,6,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,60,837,경기/인천
2023-10-16,2,23,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,87,5639,경기/인천
2023-10-25,4,19,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,138,645,경기/인천
2023-10-15,1,9,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,999,796,경기/인천
2023-08-23,4,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,63,1965,경기/인천
2023-08-01,3,19,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,79,614,경기/인천
2023-09-20,4,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,999,1694,경기/인천
2023-10-09,2,13,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,75,3128,경기/인천
2023-10-01,1,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,139,962,경기/인천
2023-08-14,2,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,86,1962,경기/인천
2023-08-14,2,23,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,0,615,경기/인천
2023-08-27,1,7,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,96,1360,경기/인천
2023-10-01,1,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,82,670,경기/인천
2023-10-24,3,9,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,933,경기/인천
2023-08-04,6,19,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,135,612,경기/인천
2023-08-13,1,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,83,1350,경기/인천
2023-09-08,6,9,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,807,경기/인천
2023-10-27,6,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,138,1285,경기/인천
2023-08-12,7,12,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,54,1353,경기/인천
2023-10-22,1,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,138,854,경기/인천
2023-10-24,3,12,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,86,3675,경기/인천
2023-08-13,1,21,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,83,651,경기/인천
2023-10-17,3,7,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,60,696,경기/인천
2023-10-14,7,13,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,685,경기/인천
2023-08-13,1,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,94,1430,경기/인천
2023-10-04,4,9,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,10,824,경기/인천
